0	0.0005557991 0.00022702002 0.0004684006 0.0030102439 0.018228881 0.0031372837 0.00042677013 0.032803368 0.0058197915 0.0001888619 0.0020241202 0.00028287226 0.00053750124 0.00011345272 0.00034829328 0.00029106514 0.00046793537 0.00044803723 0.00034068638 0.00015313772 0.00033424093 0.0004108867 0.00031345215 0.0002571658 0.0030715093 0.016694238 0.00021121465 0.008801989 0.00038317646 0.0007629004 0.00057293155 0.023687989 0.010448736 0.08930201 0.0009013893 0.00036832452 0.00037169742 0.00018378813 0.00032579323 0.00046378508 0.00016749513 0.00062218844 0.002280692 0.003174191 0.003229556 0.00020871342 0.0030491285 0.00024482422 0.00029689842 0.00043159365 0.01560642 0.00019248712 0.0011854329 0.00022679979 0.00021213063 0.00047092902 0.00021004523 0.0031542238 0.00042798682 0.016522484 0.11293779 0.001092857 0.00033038374 0.0034443524 0.00013485993 0.00027952477 0.0002632436 0.004014675 0.00034759668 0.00021175465 0.0004461777 0.00035343727 0.0006004675 0.00064784865 0.011351846 0.00039993215 0.0003647411 0.00023859738 0.00023162577 0.00019536642 0.0034077903 0.00881815 0.0034038085 0.00030666322 0.0003874759 0.0025527424 0.00068107503 0.00026595793 0.0002839256 0.00029438577 0.00038151498 0.00027775386 0.0008936029 0.0036717348 0.00026890213 0.026499901 0.00023583091 7.581073e-05 0.00019392163 0.0030277558 0.00016691742 0.00030225256 0.06609649 0.00024553743 0.00038438677 0.00032736125 0.0002818985 0.00016343276 0.00022119403 0.097950615 0.000327068 0.011648178 0.00042436903 0.0008652395 0.014845433 0.00016885667 0.00023063422 0.0010369723 0.00011900073 0.0022431854 0.00028044565 0.0005735443 0.0003060975 0.024620704 0.00021167377 0.00025224965 0.0035042146 0.0033789086 0.005441513 0.0037304019 0.00023437793 0.0039487295 0.0070131724 0.003052793 0.00026706248 0.00013510906 0.00054006523 0.00036133005 0.00047867594 0.004427734 0.00017435738 0.00034994792 0.040371384 0.00061477383 0.0002405121 0.0116566615 0.014930769 0.011729406 0.036181167 0.0076086805 0.0008901945 0.08420783 0.0005783719 0.0002468867 0.0005013121 0.00032923213 0.020355565 0.00025223108 0.0066782213 0.00040751963 0.0014383107 0.00024002955 0.00057400984 0.000668869 0.015268722 0.00039132 0.00078172825 0.00018839903 0.00026102204 0.0003902528 0.00011818573 0.0005003625 0.00019013477 0.0002248306 8.823552e-05 0.00026674272 0.00054617977 0.00050960155 0.0037678743 0.0010016265
0	0.011860157 0.0008547093 0.0017634847 0.01132897 0.02948118 0.0009778102 0.0016067498 0.0013619711 0.0012746626 0.0007110475 0.007614416 0.0010649877 0.0020236424 0.00042713893 0.0013113404 0.011708166 0.0017617332 0.09807546 0.010997949 0.00057654927 0.0012583861 0.0015474632 0.0011801183 0.0009682054 0.0009066359 0.001352846 0.0007952035 0.0011615106 0.0014426238 0.0028715467 0.002157034 0.0038980965 0.006771777 0.06727711 0.0032905103 0.0013867075 0.0013994062 0.00069194526 0.0012272848 0.0017461078 0.00063060364 0.0023102826 0.0070942086 0.001316529 0.01047769 0.00078578666 0.013298557 0.00092174043 0.0011177949 0.00162491 0.013464917 0.0007246953 0.004401953 0.00085388013 0.0007986521 0.0017730041 0.0007908008 0.0012338607 0.0016103558 0.04545722 0.0013576933 0.004106606 0.0012438525 0.0023179457 0.0005077351 0.0010523995 0.011648918 0.004177263 0.0013086692 0.00079723663 0.0016798176 0.0013306584 0.002233064 0.00243909 0.00092027907 0.0015042512 0.0013731702 0.00089829694 0.00087204954 0.0007355364 0.0019689181 0.0013913576 0.0021937026 0.0011545585 0.0014574857 0.0077573885 0.002579036 0.0010013069 0.001069055 0.0011083351 0.0014363686 0.0010457175 0.0033570859 0.0023067682 0.011647247 0.03267922 0.064805426 0.00028542036 0.0007300969 0.00074665627 0.0006284286 0.0011376298 0.0012946054 0.0009244256 0.0014466371 0.0012324847 0.0010613217 0.0006153092 0.000832775 0.042114627 0.0012315179 0.0012655039 0.00159771 0.0030386788 0.002593964 0.0006357297 0.0008683144 0.003630997 0.0004480267 0.016112294 0.0010558518 0.002159341 0.0011524156 0.054086804 0.0007969321 0.00094969646 0.0025580896 0.0018696618 0.0008138351 0.013977237 0.0008824112 0.002913808 0.0029221412 0.0008377644 0.012234211 0.0005086731 0.0020332953 0.0013603742 0.0018018683 0.01300837 0.011189213 0.001317521 0.003172661 0.0023145664 0.00090550573 0.0012493933 0.004454524 0.0015475227 0.0065186275 0.011907988 0.012404222 0.065040395 0.002177532 0.00092950545 0.0018913029 0.0012395284 0.0020545516 0.0009496266 0.00243742 0.0015342735 0.0054124137 0.020244818 0.0021592607 0.0024694104 0.003040387 0.0014732466 0.0029361427 0.0007093049 0.0009827237 0.0014687654 0.00044495828 0.0018805367 0.00071583973 0.013558952 0.00033219854 0.0010042615 0.0020560503 0.0019186024 0.0037227818 0.0035739318
0	0.0014660746 0.0005988284 0.0012355368 0.00048560576 0.030859072 0.038026806 0.0011257249 0.0009549875 0.00089309795 0.0004981758 0.005340258 0.0007461542 0.001417809 0.00029926308 0.0009187067 0.0007677652 0.0012343096 0.015656501 0.00089865504 0.0004039433 0.0008816534 0.008548647 0.00082681724 0.0006783463 0.0006352094 0.00094783417 0.00055713736 0.00081378024 0.0010107344 0.0020118863 0.0015112662 0.0027312862 0.004459644 0.09136546 0.00230816 0.0009715583 0.023297166 0.00048479228 0.0008593864 0.0012233622 0.00044181498 0.0016225014 0.012626143 0.00092238956 0.0010972494 0.0005505397 0.0018770501 0.00064579194 0.0007831521 0.008602352 0.0043150093 0.00050773786 0.0030846915 0.000598261 0.0005595535 0.0012422062 0.0005540527 0.0008644704 0.001123888 0.039202865 0.0009527619 0.0028906253 0.0008714709 0.0016240099 0.00035573056 0.0007372729 0.0006943782 0.0029367432 0.02291948 0.00055856176 0.054137405 0.00093228905 0.056637604 0.007952453 0.00064476806 0.001053912 0.0009620737 0.0006293669 0.00061097735 0.00051533326 0.0013690129 0.00097481627 0.0015136924 0.00080890954 0.001021147 0.005288603 0.0017923091 0.00070153794 0.0007490279 0.0007765243 0.0010063519 0.0007326531 0.009820261 0.0016177752 0.0007093041 0.023362251 0.0006220696 0.00019997187 0.00051152223 0.00052312406 0.0004402911 0.0007970489 0.00090702943 0.0006476732 0.0010135463 0.00086350634 0.0007435857 0.00043109935 0.0005834608 0.08962159 0.0008627328 0.00088664034 0.0011193913 0.0020106593 0.0018173892 0.00044540642 0.00060836045 0.002650349 0.0003138975 0.006013073 0.038059846 0.0015128825 0.00080740795 0.033463947 0.00055834843 0.0006653785 0.0017922546 0.0013099269 0.0005701913 0.009681396 0.00061823695 0.002041479 0.0020473173 0.00058695645 0.0007044497 0.0003563877 0.0014245722 0.0009531085 0.016179215 0.046288528 0.00045991605 0.0009230846 0.009660338 0.0016216369 0.0006344175 0.03074758 0.0011263966 0.001084229 0.011553072 0.0009378906 0.0023478894 0.032812905 0.0015256179 0.015542817 0.0013225026 0.00086844125 0.0014394647 0.00066532963 0.0109334355 0.0010749463 0.0037920577 0.0006331447 0.001512832 0.009194947 0.0021409637 0.007909552 0.009983215 0.00049695483 0.00068851816 0.0010290499 0.00031174772 0.0013175844 0.00050153333 0.0005930532 0.00023274572 0.008193302 0.0014405715 0.0013442157 0.002608264 0.0025040207
0	0.003235382 0.0013215144 0.0027266236 0.0010716509 0.045178402 0.0015118477 0.002484287 0.0021058207 0.0019708278 0.0010993908 0.01177308 0.0016466378 0.0031288678 0.017134342 0.0020274324 0.0016943298 0.0027239153 0.0026002787 0.0019831816 0.0008914354 0.001945662 0.0023918212 0.018275976 0.0014969971 0.001401801 0.0020917119 0.0012295091 0.0017958771 0.0022305222 0.0044398606 0.0033351122 0.0060270675 0.009775561 0.09100621 0.0050803875 0.002144067 0.0021637012 0.0010698556 0.0018963828 0.002699756 0.0009750119 0.0035626509 0.010851567 0.0020355599 0.0024176766 0.0012149492 0.0041423365 0.001425155 0.0017282859 0.0025123653 0.00934531 0.0011204924 0.006806108 0.0013202324 0.0012348413 0.002915552 0.0012227019 0.0019077418 0.018897912 0.053709712 0.0020992064 0.0063494556 0.0019231908 0.003583907 0.000785038 0.033836454 0.0015323767 0.006510997 0.0020234075 0.0012326526 0.002597261 0.0020574064 0.0034310108 0.003771215 0.0014228956 0.0023258077 0.002123136 0.0013889078 0.0013483252 0.0011372544 0.0030209774 0.002151257 0.0033404664 0.0017851283 0.0022535012 0.011596803 0.003955327 0.0015481772 0.0016526949 0.0017136595 0.0022208507 0.001616843 0.00519058 0.0035613463 0.0015653159 0.04789292 0.0013728038 0.00044130455 0.0011288441 0.0011544476 0.00097164896 0.0017589539 0.0020016625 0.0014293067 0.0022367274 0.0019056144 0.0016409695 0.00095136435 0.0012876005 0.061606847 0.0019039073 0.0019566673 0.0024703098 0.004446216 0.0040106745 0.0009829376 0.00134255 0.0055938857 0.0006927194 0.012783026 0.0016325123 0.0033386792 0.0017818146 0.010238095 0.0012321818 0.0014683794 0.003955207 0.0028907899 0.0012583166 0.021001536 0.0013643458 0.0045052036 0.004518088 0.001295315 0.001554603 0.0007864882 0.003143793 0.0021033513 0.0027859705 0.0036316956 0.017495459 0.0020370937 0.0049072434 0.003578682 0.0014000536 0.01839178 0.0024786335 0.0023927125 0.0103618605 0.002069394 0.0051813996 0.03370716 0.00336678 0.001437161 0.0029182057 0.0019165049 0.0031766584 0.0014682715 0.0038355954 0.0023722271 0.008368439 0.0013972446 0.003338555 0.003818095 0.004672822 0.00227787 0.004541608 0.0010966964 0.0015194447 0.05171549 0.0006879752 0.0029072764 0.0011068003 0.0013087691 0.000513631 0.0015527456 0.0031789755 0.0029664596 0.0057560033 0.005525858
0	0.0009069713 0.00037045876 0.0007643515 0.00030041477 0.023105456 0.00042388504 0.005316299 0.0005903225 0.0005525129 0.00030819108 0.009723538 0.00046160028 0.00087712 0.00018513588 0.0005683506 0.00047496968 0.005301357 0.00072912493 0.00055594323 0.00024989518 0.0051647043 0.0006705466 0.014334638 0.00041965162 0.0003930155 0.0005863674 0.000344667 0.018968463 0.005244811 0.0058797603 0.00093492854 0.0016896223 0.016691945 0.0445332 0.006397793 0.00060104404 0.0006065481 0.00029991154 0.00053171883 0.0007568198 0.00027332408 0.005826721 0.003807887 0.0005706264 0.0006778185 0.00034058545 0.0011701458 0.0003995122 0.0004844886 0.0007042888 0.0042341296 0.00031410647 0.0019155402 0.00037009953 0.00034616177 0.0007684775 0.00034275872 0.0005347953 0.0006961285 0.035654135 0.0052045807 0.0017807046 0.00053912855 0.0010046827 0.00022006889 0.00045614011 0.0004295696 0.0064366716 0.0005672197 0.00034554824 0.00072808744 0.0005767506 0.0009777176 0.0010571808 0.0045324615 0.0006519913 0.00059517653 0.00038935107 0.00037797456 0.00031880537 0.00085935555 0.0006030596 0.0009364295 0.00050042314 0.00063172163 0.008160382 0.0058876732 0.0004339989 0.00046331645 0.018960489 0.0006225687 0.00045324792 0.006075101 0.0010011641 0.00043880337 0.031184677 0.00038483666 0.00012371044 0.0003164477 0.00032362508 0.00027238135 0.0004930857 0.000561124 0.00040067604 0.0006271034 0.0005341989 0.00046001127 0.000266695 0.00036095173 0.07255119 0.00053373614 0.024300752 0.00069249934 0.13850743 0.019605221 0.00027554587 0.013393258 0.0018476178 0.00019418931 0.0035801858 0.00045764048 0.022845643 0.0050799055 0.046403136 0.00034541625 0.0004116293 0.001108759 0.0008103721 0.00035274256 0.006232013 0.00038246563 0.0012804649 0.0012668691 0.0003631143 0.0004358178 0.00022047541 0.004871464 0.0005896303 0.0007809882 0.014859838 0.0002845221 0.008070487 0.0013751342 0.0010032082 0.00039247557 0.00054152764 0.012074881 0.0006707466 0.005949214 0.042569727 0.0014524964 0.020889375 0.00094380754 0.00040287783 0.00081805757 0.0005372518 0.0055593653 0.000411599 0.0060007237 0.004885013 0.0032105423 0.00039168814 0.0009359971 0.0010703226 0.0066099893 0.0006385529 0.010512793 0.00030743575 0.11427196 0.0006367065 0.00019285937 0.009891685 0.00031026817 0.00036688586 0.00014398563 0.00043528422 0.00089115894 0.00083158456 0.0016138661 0.001549058
1	0.00047474095 0.0026118665 0.009951482 0.0074102883 0.016650101 0.0002218528 0.00036452967 0.00030899598 0.00028919536 0.0025523999 0.0052918606 0.00024161796 0.00045911167 9.690669e-05 0.002653681 0.00024861598 0.00039969131 0.006941691 0.0002910004 0.0025459034 0.00028549499 0.00035096178 0.00026773807 0.00021966561 0.00020569205 0.005282024 0.00383282 0.0051120096 0.0027571905 0.003083895 0.00048937474 0.012999845 0.0014871508 0.053967234 0.000758219 0.00031460778 0.0003174888 0.00015698433 0.0002785482 0.00039614632 0.00014306752 0.00054406776 0.002474058 0.0002986861 0.0026983302 0.00017827451 0.005066511 0.00020911887 0.00025359853 0.00036864972 0.018129371 0.0001644145 0.0010933086 0.00019372314 0.00018119335 0.0028099415 0.00017941208 0.00027993083 0.0003648306 0.021709424 0.00030901367 0.00093403977 0.00028219773 0.029556891 0.00011519186 0.0062186616 0.00022485196 0.0041530537 0.0002969029 0.0001808722 0.009687028 0.00030189173 0.014545479 0.0005533659 0.00020881479 0.0027591595 0.002726232 0.00020380015 0.00019784531 0.033564836 0.0004439252 0.00031695593 0.009133639 0.00026193925 0.0017239569 0.014337053 0.03684483 0.002644299 0.016408768 0.00025145232 0.00032588525 0.0026491068 0.00076182245 0.000525002 0.00022968525 0.017928017 0.06934121 6.475444e-05 0.0025835284 0.00016939684 0.00014257406 0.00025809856 0.00029371222 0.002342011 0.00032866598 0.0026499564 0.00024078622 0.00013959761 0.00018893494 0.046362042 0.0054265005 0.00028711066 0.0027142812 0.00065310736 0.00058850285 0.0001442305 0.0001969983 0.0010177699 0.00010164558 0.0028215277 0.00023954526 0.0004898982 0.018309696 0.046423435 0.00018080312 0.00021546136 0.0005803638 0.012469821 0.00018463797 0.0031340914 0.00020019608 0.008728649 0.003745282 0.005021803 0.00022811368 0.000115404655 0.00046142397 0.0003086334 0.0028268953 0.010257491 0.00014892897 0.003964975 0.016061245 0.0077578328 0.15368332 0.0026826859 0.011186009 0.00035764722 0.04031715 0.00030368156 0.0008292348 0.04218342 0.00049459114 0.00021088055 0.0028175449 0.00028121666 0.002880595 0.00021544553 0.008783216 0.0024947338 0.005948021 0.0026007872 0.0004899362 0.0027717645 0.0006997093 0.00033429594 0.0030967034 0.00016092278 0.00022295446 0.0027507662 0.00010094944 0.00042714016 0.00016240537 0.0025806758 7.5367185e-05 0.0024696528 0.0004664766 0.00043528088 0.0008446021 0.0008136334
1	0.0059895855 0.00021888413 0.0004516275 0.00017749892 0.010261098 0.003046408 0.00041147563 0.0003487898 0.0030449652 0.00018209351 0.004568249 0.00027273476 0.0005182384 0.00010938683 0.0030802998 0.003009113 0.0031777143 0.00043144083 0.00032847814 0.00014764961 0.0003222625 0.00039619367 0.00030221874 0.00024794956 0.00023218212 0.00034691393 0.00020364518 0.005756638 0.00036944426 0.014503206 0.00055239897 0.009192351 0.0016232135 0.05204349 0.00084673625 0.0003551246 0.0057254573 0.00017720158 0.014812626 0.0004471641 0.00016149248 0.042443216 0.0045741117 0.00033715242 0.0004004429 0.0002012336 0.0006861005 0.00023605027 0.00028625847 0.0004161263 0.006625203 0.21680999 0.00114349 0.00021867183 0.00020452835 0.00045405197 0.0029281601 0.00031598174 0.03542342 0.013702486 0.0030407857 0.0038205863 0.00031854087 0.00061380723 0.00013002686 0.0002694849 0.00025380956 0.01476294 0.0003351396 0.00020416584 0.00043072 0.00034077087 0.003793415 0.0006246312 0.0029651904 0.00038522654 0.00035165777 0.00023004659 0.00022332484 0.00018836492 0.0005007051 0.00035631543 0.00055328576 0.00029567324 0.0003732503 0.0021789246 0.00065512676 0.0002564266 0.00027378788 0.00028383563 0.00036784235 0.0002677998 0.00085997424 0.0005914868 0.0029870737 0.010696522 0.00022737926 7.309384e-05 0.00018697191 0.00019121263 0.0028900534 0.0002913378 0.00033156452 0.00023673792 0.00037090637 0.00031562935 0.0030000352 0.0001575757 0.00021326695 0.047982514 0.00031534664 0.000324086 0.0004091606 0.019985333 0.000665443 0.00016280523 0.00022237487 0.005661099 0.00011473601 0.0052484837 0.005729531 0.0005529898 0.00029512472 0.013192522 0.00020408786 0.00024320958 0.00065510604 0.00047885018 0.00020841663 0.003805767 0.00022597837 0.0036447726 0.0007659932 0.00021454469 0.0002574914 0.00013026706 0.00052081933 0.0003483808 0.0004614439 0.00060152245 0.0001681088 0.0003374065 0.006220781 0.0033223445 0.00023189269 0.00031996795 0.00041073465 0.013032291 0.017973294 0.0068733664 0.00085820194 0.059161056 0.00055764563 0.00023803883 0.011400011 0.00031743318 0.000526154 0.0002431917 0.0006637606 0.0029051437 0.0013883369 0.00023142743 0.00055325293 0.0040300447 0.0007849795 0.00037737036 0.20653933 0.00018164724 0.0028546618 0.0003783314 0.00011395022 0.00048200978 0.00018332076 0.00021677313 8.5073356e-05 0.00025718324 0.0005265378 0.00049133855 0.00095337426 0.0009153114
1	0.0018153709 0.0007415009 0.010490746 0.00060130266 0.03841254 0.0060868026 0.075083695 0.0011825127 0.0011058303 0.0006168675 0.0066061737 0.00092392747 0.0017556058 0.0003705633 0.0011375911 0.0009506874 0.010773341 0.0014610135 0.001112762 0.0005001839 0.010288231 0.0013422124 0.0010238086 0.00083996414 0.0007865497 0.0011741911 0.019153869 0.010254695 0.0012515446 0.0025140552 0.0018713294 0.0033817838 0.0054851356 0.06429276 0.0028520995 0.019056585 0.0012140514 0.0006002954 0.08302483 0.0015148314 0.0005470786 0.018388027 0.0060888715 0.0011421514 0.0013565568 0.0006817072 0.0023242624 0.0007996536 0.00096974015 0.010654508 0.0061787018 0.010674772 0.0042239726 0.00074078154 0.00069286866 0.0015381651 0.0006860572 0.0010704327 0.024798669 0.028926747 0.0011778635 0.0035627575 0.0010791011 0.0020109278 0.00044048435 0.00091291434 0.0008598157 0.01286034 0.0011353326 0.0006916406 0.0014671806 0.0011544095 0.0019447741 0.0021160264 0.00079843146 0.0013050092 0.0011912903 0.00077931536 0.0007565444 0.0006381128 0.0016952563 0.0012070689 0.0018743336 0.0010016344 0.010502451 0.0065726987 0.0022193317 0.0008686813 0.0009273417 0.0009615333 0.0012461179 0.0009072096 0.0029124313 0.002000954 0.0008782978 0.027607683 0.0007702793 0.0002476157 0.00063339376 0.00064775976 0.00054519164 0.0009869479 0.0011231316 0.0008019831 0.001255438 0.001069239 0.00092074694 0.00053380994 0.00072247186 0.075316 0.0010682812 0.0010978847 0.0013860893 0.07720391 0.002250387 0.0005515257 0.00075330405 0.0038212005 0.00038868442 0.007134405 0.0009160016 0.0018733309 0.000999775 0.0057919403 0.00069137645 0.0008239068 0.0022192642 0.0016226165 0.0007060408 0.01185383 0.0007655336 0.0026024068 0.0025487125 0.0007268004 0.0008722868 0.00044129803 0.0017639803 0.0011801892 0.010810736 0.011285346 0.0005694923 0.0011430131 0.002752434 0.0020079962 0.0007855692 0.001083908 0.0061943755 0.0013434874 0.0057941736 0.0011629998 0.00290728 0.01947898 0.0018891033 0.00080639013 0.0016374034 0.0010753497 0.001782421 0.0008238462 0.025815777 0.0013310552 0.004695526 0.0007839931 0.0018745026 0.0028201707 0.0026321597 0.0012781114 0.0025533366 0.0006153557 0.010216702 0.0012742238 0.00038602244 0.001631271 0.00980819 0.0007343497 0.000288198 0.010118499 0.0017837213 0.0016644787 0.00322969 0.0031005554
1	0.016791983 0.00025934394 0.0005350932 0.00021030966 0.026307683 0.00029669676 0.0037209615 0.0004132621 0.00038677687 0.00021575282 0.012311793 0.00032314865 0.0038415708 0.00012960653 0.00039788499 0.0035556087 0.0005345617 0.00051187194 0.006857746 0.0033957325 0.00038183137 0.00046938992 0.00035808262 0.000293782 0.00027510003 0.00041049332 0.00024129178 0.0068208342 0.0004377345 0.0008713851 0.0006545076 0.00118284 0.0019382612 0.115180425 0.0010074722 0.00042076787 0.00042462104 0.00020995655 0.00037216512 0.0037637886 0.0029668391 0.0036462012 0.004381061 0.00039947362 0.0004744631 0.0002384308 0.00081292336 0.00027968318 0.0070510088 0.0037272924 0.007868213 0.00021989389 0.1971291 0.00025909237 0.00024233456 0.0005379816 0.006688674 0.0003743906 0.0004879018 0.04855112 0.0004119641 0.0012602173 0.00037743384 0.0007081914 0.00015406178 0.059845235 0.0003007252 0.00452652 0.00039708873 0.0034419133 0.0005097061 0.00040376096 0.010587726 0.00074009167 0.0035085278 0.0004569371 0.00041666024 0.00027256974 0.0002646055 0.0050990563 0.00059331243 0.00042217885 0.0006688012 0.00035032706 0.0068831514 0.009029961 0.00077869504 0.00030382597 0.00032436935 0.00033630148 0.006904469 0.0035187271 0.0010189209 0.00070044847 0.0003071894 0.015419064 0.0002694094 8.660494e-05 0.00022153289 0.00022655749 0.0066277855 0.00034519038 0.00039285116 0.0034907046 0.00043902895 0.00037454898 0.00032203624 0.0033901397 0.00025268845 0.09228667 0.0003736399 0.00038399122 0.00048479222 0.0010364542 0.00078708504 0.0001928991 0.00026347215 0.014401307 0.00013594449 0.0054577314 0.00032037654 0.0006552076 0.00034967868 0.0020754545 0.00024181265 0.00028816584 0.0007761996 0.0070781345 0.0069218036 0.0042620385 0.0002677495 0.0041199527 0.00088677055 0.00025420237 0.00030508873 0.00015434637 0.003756376 0.00041277753 0.0005467715 0.007192353 0.000199183 0.00039977464 0.06387121 0.00070230756 0.0002747571 0.0003791027 0.0004864953 0.00046956397 0.056093358 0.00040639922 0.0010477155 0.039150923 0.0006607241 0.0002820393 0.00057269074 0.00037610938 0.0006234456 0.00028814469 0.0007684744 0.00046554374 0.0016605877 0.00027420584 0.00065529713 0.0008175194 0.0043695895 0.00044705186 0.0008939184 0.00021522398 0.00029818728 0.00044566666 0.00013501344 0.0005707524 0.00021720685 0.00025684352 0.00010079882 0.0003047225 0.00062394905 0.0005821604 0.0011296015 0.0010844955
1	0.0011688404 0.0004772366 0.0009846616 0.00038700373 0.022151215 0.0005459714 0.000897147 0.000760472 0.0007117598 0.00039702142 0.0042517153 0.00059464795 0.0011299236 0.00023849786 0.0007321638 0.0006118709 0.0009836836 0.0009421867 0.00071618357 0.00032192282 0.0007028741 0.0008667611 0.1495559 0.0005406084 0.0005062304 0.0007553769 0.00044401086 0.012551969 0.00080550526 0.0016037036 0.0012044299 0.002177356 0.0039712107 0.067560755 0.0018452149 0.0007742913 0.0007813743 0.00038635544 0.0006850369 0.00097495905 0.00035210466 0.0012926548 0.004004524 0.00073509885 0.0008730921 0.00043875288 0.001495916 0.0005146642 0.00062413345 0.0009072869 0.010854986 0.00040464182 0.0024925373 0.00047677447 0.00044593646 0.0009899768 0.00044155255 0.00068894005 0.00089719496 0.05093094 0.0007580834 0.014711945 0.0006945403 0.0012942598 0.00028349966 0.0005876086 0.00055338506 0.002332422 0.0007307102 0.00044514608 0.00093794515 0.00074298825 0.0012977784 0.0013618935 0.0005138482 0.00083991565 0.0007667251 0.00050157425 0.00048691873 0.00041069507 0.0010933557 0.0007768803 0.0012063379 0.00064466085 0.00081380364 0.004370518 0.0075171622 0.00055909104 0.0005968664 0.0006188654 0.0008020126 0.0005838882 0.0018744668 0.107414134 0.00056528026 0.02306556 0.00049575866 0.00015936769 0.00040765788 0.000416904 0.00035089022 0.0006352085 0.00072285754 0.0005161635 0.000808921 0.00068817177 0.00059260096 0.00034356484 0.00046498934 0.24846838 0.0006876117 0.00070660847 0.00089209946 0.015048958 0.0014483692 0.00035496685 0.00048483317 0.002081168 0.00025016078 0.004595718 0.0005895468 0.0012063619 0.00064346415 0.004922431 0.00044497606 0.00053027377 0.0014283382 0.0010478423 0.00045441405 0.008421921 0.0004927043 0.0016345318 0.0016750712 0.00046777524 0.00056141167 0.00028402335 0.0070839515 0.0007595803 0.0010188924 0.001355123 0.00036653032 0.00073568017 0.0017717829 0.0012923643 0.00050559937 0.0006978411 0.06806104 0.00086407684 0.01484658 0.0007474829 0.0018711515 0.006087519 0.0012158433 0.0005189999 0.0010538475 0.0006921047 0.0011471821 0.00053023477 0.0013711138 0.000856679 0.008959801 0.000504585 0.0012056694 0.0013850244 0.00224679 0.0008232606 0.0016397373 0.0003960484 0.0005487149 0.0008201018 0.0002484475 0.0010507621 0.00039969722 0.0004726339 0.00018548682 0.00056074077 0.0011485673 0.0010824669 0.0020786573 0.0020500356
0	0.0005557991 0.00022702002 0.0004684006 0.0030102439 0.018228881 0.0031372837 0.00042677013 0.032803368 0.0058197915 0.0001888619 0.0020241202 0.00028287226 0.00053750124 0.00011345272 0.00034829328 0.00029106514 0.00046793537 0.00044803723 0.00034068638 0.00015313772 0.00033424093 0.0004108867 0.00031345215 0.0002571658 0.0030715093 0.016694238 0.00021121465 0.008801989 0.00038317646 0.0007629004 0.00057293155 0.023687989 0.010448736 0.08930201 0.0009013893 0.00036832452 0.00037169742 0.00018378813 0.00032579323 0.00046378508 0.00016749513 0.00062218844 0.002280692 0.003174191 0.003229556 0.00020871342 0.0030491285 0.00024482422 0.00029689842 0.00043159365 0.01560642 0.00019248712 0.0011854329 0.00022679979 0.00021213063 0.00047092902 0.00021004523 0.0031542238 0.00042798682 0.016522484 0.11293779 0.001092857 0.00033038374 0.0034443524 0.00013485993 0.00027952477 0.0002632436 0.004014675 0.00034759668 0.00021175465 0.0004461777 0.00035343727 0.0006004675 0.00064784865 0.011351846 0.00039993215 0.0003647411 0.00023859738 0.00023162577 0.00019536642 0.0034077903 0.00881815 0.0034038085 0.00030666322 0.0003874759 0.0025527424 0.00068107503 0.00026595793 0.0002839256 0.00029438577 0.00038151498 0.00027775386 0.0008936029 0.0036717348 0.00026890213 0.026499901 0.00023583091 7.581073e-05 0.00019392163 0.0030277558 0.00016691742 0.00030225256 0.06609649 0.00024553743 0.00038438677 0.00032736125 0.0002818985 0.00016343276 0.00022119403 0.097950615 0.000327068 0.011648178 0.00042436903 0.0008652395 0.014845433 0.00016885667 0.00023063422 0.0010369723 0.00011900073 0.0022431854 0.00028044565 0.0005735443 0.0003060975 0.024620704 0.00021167377 0.00025224965 0.0035042146 0.0033789086 0.005441513 0.0037304019 0.00023437793 0.0039487295 0.0070131724 0.003052793 0.00026706248 0.00013510906 0.00054006523 0.00036133005 0.00047867594 0.004427734 0.00017435738 0.00034994792 0.040371384 0.00061477383 0.0002405121 0.0116566615 0.014930769 0.011729406 0.036181167 0.0076086805 0.0008901945 0.08420783 0.0005783719 0.0002468867 0.0005013121 0.00032923213 0.020355565 0.00025223108 0.0066782213 0.00040751963 0.0014383107 0.00024002955 0.00057400984 0.000668869 0.015268722 0.00039132 0.00078172825 0.00018839903 0.00026102204 0.0003902528 0.00011818573 0.0005003625 0.00019013477 0.0002248306 8.823552e-05 0.00026674272 0.00054617977 0.00050960155 0.0037678743 0.0010016265
